Problem,Problem Detail,problem_family
LinkNYC,WiFi/Internet Not Working/Slow,Otros
Lifeguard,Inattentive,Otros
DSNY Internal,Other Request for Enforcement,Otros
Pet Sale,Animals Sold From Residence,Otros
Posting Advertisement,Building,Otros
Bench,Missing,Otros
Green Taxi Report,Driver Report - Passenger,Otros
Disorderly Youth,Playing in Unsuitable Place,Otros
Tattooing,Minor Received Tattoo,Otros
For Hire Vehicle Report,Driver Report - Non Passenger,Otros
Beach/Pool/Sauna Complaint,Beach/Pool Water,Otros
Unsanitary Animal Facility,Animal Odor,Otros
Municipal Parking Facility,"Dirt, Litter, Debris - Garage",Árboles / Parques
Special Natural Area District (SNAD),Illegal Tree Removal/Topo. Change in SNAD,Otros
Tobacco or Non-Tobacco Sale,Original Labels or Packaging Not Kept,Otros
Building Marshal's Office,Tenant Safety - Failure To Post/Distribute,Otros
Mosquitoes,Large Number of Mosquitoes,Otros
Borough Office,Restroom Non-Complaince With Local Law 79/16,Otros
Found Property,Electronics/Phones,Otros
Public Payphone Complaint,Damaged Telephone,Otros
DEP Street Condition,Failed Street Cut - DEP,Infraestructura vial
Construction Safety Enforcement,CSE - Tracking Compliance,Otros
Recycling Basket Complaint,Misuse,Otros
Highway Sign - Missing,Exit/Route,Otros
Animal Facility - No Permit,,Otros
Institution Disposal Complaint,Storage Area Not Provided,Otros
Highway Sign - Damaged,Other/Unknown,Otros
Highway Sign - Dangling,Other/Unknown,Otros
Leaning Bar,Damaged/Bent/Loose/Leaning,Otros
Special Operations,Special Operations Compliance Inspection,Otros
Building Drinking Water Tank,Unsanitary Condition,Agua / Alcantarillado
Squeegee,,Otros
AHV Inspection Unit,After Hours Work - With An AHV Permit,Otros
Public Toilet,Damaged Other,Otros
Safety,Safety,Otros
Oil or Gas Spill,Emergency Personnel Report,Otros
FHV Licensee Complaint,Licensee Complaint,Otros
Incorrect Data,Collection Days,Otros
Dept of Investigations,Integrity Complaint Referral,Otros
Trapping Pigeon,,Otros
School Maintenance,Other School Condition,Otros
Snow or Ice,Roadway,Otros
DEP Highway Condition,Plate Condition - DEP,Otros
Radioactive Material,Contamination Risk,Otros
Tanning,Equipment Maintenance,Otros
Window Guard,Tenant Refusal,Otros
Taxi Licensee Complaint,Driver Complaint,Otros
SNW,,Otros
X-Ray Machine/Equipment,Exposure Unnecessary,Otros
Tunnel Condition,Fallen Debris from Tunnel,Otros
Bike/Roller/Skate Chronic,,Otros
Calorie Labeling,Failure to Post Calorie Information,Otros
Transfer Station Complaint,Odor,Otros
Unspecified,Unspecified,Otros
Building Condition,Bikes in Buildings,Otros
DEP Sidewalk Condition,Cave-in,Infraestructura vial
Pet Shop,Dogs or Cats Sold,Otros
ASBESTOS,,Otros
Facade Insp Safety Pgm,Facades Uunit Complaince Inspection,Otros
Peeling Paint,Peeling Paint Inside Home,Otros
Dispatched Taxi Complaint,Driver Complaint - Passenger,Otros
Smoking,Cigarette Vending Machine,Otros
Adopt-A-Basket,Adopt-A-Basket,Otros
Stalled Sites,Stalled Construction Site,Otros
Bike Rack Condition,Bike Rack Repair,Otros
Building Marshals office,Unlicensed/Illegal/Improper Work In Progress,Otros
Executive Inspections,Enforcement Work Order (DOB),Otros
Sustainability Enforcement,Sustainability Enforcement Work Order,Otros
Retailer Complaint,Plastic Stirrers or Splash Sticks,Otros
Seasonal Collection,Christmas Tree,Otros
Unlicensed Dog,License Violation,Otros
Electronics Waste Appointment,Ewaste appointment,Otros
Paint/Plaster,Ceiling,Otros
Door/Window,Window Frame,Otros
Flooring/Stairs,Floor,Otros
General,Cabinet,Otros
Water Leak,Heavy Flow,Agua / Alcantarillado
Unsanitary Condition,Mold,Otros
Sewer Maintenance,Catch Basin Clogged,Agua / Alcantarillado
Unstable Building,Leaning,Otros
Boiler,Not Working,Otros
Appliance,Refrigerator,Otros
Heat/Hot Water,Entire Building,Calefacción / Agua Caliente
Water Drainage,Drain/Pipe Clogged,Agua / Alcantarillado
DOB Posted Notice or Order,Vacate Order,Otros
Water Maintenance,Water in Basement,Agua / Alcantarillado
Electric,Power Outage,Otros
Outside Building,Skylight,Otros
Quality of Life,Illegal Conversion No Access Follow - UP,Otros
Trans Fat,,Otros
Bottled Water,Other (Explain Below),Agua / Alcantarillado
Face Covering Violation,Mandate Not Enforced,Otros
Dispatched Taxi Compliment,Driver Compliment,Otros
Internal Code,REPORTABLE DISCHARGE EVENT (FOR DEP INTERNAL USE ONLY),Otros
SRDE,,Otros
ZTESTINT,ZTESTINT,Otros
Private School Vaccine Mandate Non-Compliance,Staff Not Vaccinated,Otros
Request Large Bulky Item Collection,Request Large Bulky Item Collection,Otros
Vaccine Mandate Non-Compliance,Employee Proof of Vaccination Not Checked,Otros
Facades,Facade (LL11/98)- Unsafe Notification,Otros
COVID-19 Non-essential Construction,Construction,Otros
Private or Charter School Reopening,,Otros
Mass Gathering Complaint,Mass Gathering,Otros
MOLD,,Otros
Home Delivered Meal - Missed Delivery,,Otros
Forensic Engineering,Retaining Wall Tracking Complaint,Otros
Miscellaneous Categories,Inspection Work Order (DOB),Otros
DEP Bridge Condition,Plate Condition - DEP,Otros
Sanitation Condition,15N Needle/Syringe on Street/Sidewalk,Saneamiento
Dirty Conditions,E11 Litter Surveillance,Saneamiento
Overflowing Litter Baskets,6 Overflowing Litter Baskets,Saneamiento
Other Enforcement,E2A Storage Of Receptacles,Otros
Litter Basket / Request,10 Litter Basket / Request,Saneamiento
Missed Collection (All Materials),2 Bulk-Missed Collection,Otros
Storm,2S Bulk-Storm Related,Otros
Vacant Lot,8 Request to Clean Vacant Lot,Otros
Derelict Bicycle,14B Derelict Bicycle,Otros
Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Otros
Sweeping/Missed,3A Sweeping/Missed,Otros
Sweeping/Inadequate,3B Sweeping/Inadequate,Otros
Overflowing Recycling Baskets,6R Overflowing Recycling Baskets,Otros
Collection Truck Noise,21 Collection Truck Noise,Ruido
Change Collection Schedule,23 Change Collection Schedule,Otros
Foam Ban Enforcement,ER9 FOAM VIOL. RETAILER,Otros
SRGOVG,,Otros
NonCompliance with Phased Reopening,Business not in compliance,Otros
Sweeping/Missed-Inadequate,3 Sweeping/Missed-Inadequate,Otros
Snow,15S Re-Plow/Spread/Ice-Snow Cond.,Otros
Homeless Street Condition,,Infraestructura vial
Snow Removal,Not Plowed,Otros
Vending,In Prohibited Area,Otros
DSNY Spillage,4 DSNY Spillage,Otros
Employee Behavior,CP1 Employee Behavior-Bcc,Otros
Homeless Encampment,,Otros
Electronics Waste,1RE missed collection for E-waste,Otros
Ferry Permit,Performance,Otros
Home Delivered Meal Complaint,,Otros
